skills_count,years_experience,education_level,certifications_count,project_relevance,resume_completeness,label
20,2.2,2,3,3,27,1
17,1.7,2,0,0,21,0
6,4.7,3,0,8,35,1
13,4.4,3,4,0,30,1
22,8.5,2,2,3,53,2
11,16.9,3,4,0,68,1
17,2.5,2,1,8,47,1
11,11.5,0,0,10,39,1
24,5.8,0,3,1,58,1
11,3.3,2,3,10,44,1
22,18.7,0,9,10,31,2
14,7.6,3,3,10,51,2
24,15.5,1,0,5,61,1
18,17.5,2,3,10,73,2
12,17.7,2,2,4,27,1
8,14.9,2,9,6,56,2
7,19.9,1,8,7,21,1
4,12.5,2,9,1,59,1
12,11.9,2,8,4,80,2
23,2.3,3,4,10,53,2
3,5.9,1,7,0,43,0
16,18.3,2,10,8,87,2
6,3.1,1,8,8,10,0
3,18.6,2,3,0,40,0
18,18.9,0,7,1,78,1
15,18.9,1,4,8,87,2
13,19.3,3,3,4,61,2
14,18.0,2,1,3,38,1
2,6.8,3,8,3,85,1
20,1.2,0,0,5,19,0
16,4.8,2,3,8,26,1
18,9.5,2,6,3,22,1
3,13.2,2,6,6,69,1
20,19.7,0,0,6,53,1
25,17.2,1,3,3,78,1
8,9.3,0,7,8,22,1
1,13.0,3,0,1,40,1
6,17.3,0,2,6,10,0
12,5.3,2,4,6,99,2
17,13.2,2,2,3,47,1
6,19.4,3,8,0,50,1
16,18.4,3,2,0,75,2
2,17.0,0,9,1,96,1
18,4.9,3,0,9,20,1
13,13.1,3,8,5,43,2
7,5.3,1,10,10,48,1
14,6.3,0,0,7,89,1
2,10.8,3,4,2,54,1
2,17.6,2,4,2,66,1
19,19.7,3,0,10,80,2
9,18.6,0,2,4,24,1
4,5.4,3,3,5,36,1
21,12.7,2,8,7,42,2
2,12.7,2,0,0,52,0
24,2.6,2,2,7,80,1
3,1.5,1,8,0,57,0
18,11.1,2,2,0,49,1
1,18.0,1,10,3,95,1
3,7.1,3,6,9,29,1
5,19.5,1,6,0,32,1
23,18.5,2,10,3,44,2
12,17.4,2,3,3,68,1
11,6.1,1,3,0,94,1
2,19.3,2,5,10,75,2
12,13.6,3,5,0,24,1
18,19.3,2,0,1,86,1
13,6.9,2,6,9,75,2
6,5.1,2,0,8,78,1
21,14.4,1,5,6,18,2
19,6.3,0,4,8,49,1
21,8.2,2,4,8,26,2
12,13.5,1,9,9,48,2
12,11.0,0,4,4,36,1
20,6.4,2,7,10,37,2
16,9.5,1,10,1,46,1
10,1.9,1,10,4,38,0
25,4.0,0,0,3,70,0
14,8.3,3,3,6,73,2
12,4.9,0,1,6,38,0
16,9.3,3,3,1,68,2
4,16.0,3,8,9,50,2
19,16.3,3,6,8,67,2
5,14.9,2,7,4,41,1
24,10.4,1,4,7,19,1
22,5.7,2,5,5,79,2
12,13.9,1,1,6,62,1
10,10.9,2,0,3,63,1
22,0.4,3,6,7,10,1
11,6.0,2,6,8,79,2
15,4.4,2,7,0,59,1
10,13.4,2,2,7,26,1
12,11.8,0,1,10,64,1
4,17.3,1,0,4,58,0
10,15.2,2,4,6,42,1
2,9.4,3,0,5,38,1
20,0.8,0,3,3,12,0
19,3.0,1,7,10,24,1
22,5.1,2,2,9,87,2
23,14.4,1,4,1,84,2
21,18.2,2,6,3,19,2
18,13.8,1,1,4,97,1
18,15.7,2,8,6,94,2
11,1.4,2,0,6,72,1
20,17.8,2,2,6,32,2
23,10.4,2,9,8,71,2
18,5.4,1,1,4,67,1
7,15.0,3,9,10,58,2
10,3.6,1,5,4,53,1
8,17.6,2,8,0,76,1
23,8.1,3,3,7,92,2
22,9.8,0,1,4,38,1
21,11.6,2,8,8,54,2
13,19.9,3,5,5,99,2
